time =  5.0629E-01  time past bounce =  2.0128E-04  cycle =  5.1050E+03
     Lnue =  1.1087E+53  Lanue =  2.0825E+47  Lmutau =  5.8113E+46
    9 2.53984E+04 3.33399E+29 1.24284E+24 1.32850E+24
   10 3.20000E+04 4.01326E+28 2.82351E+23 4.60924E+23
   11 4.03175E+04 2.78638E+27 4.36385E+22 1.21451E+23
   12 5.07969E+04 9.67113E+25 4.15121E+21 2.26266E+22
   13 6.40000E+04 1.40134E+24 2.14250E+20 2.72365E+21
   14 8.06350E+04 6.75506E+21 5.11778E+18 1.89102E+20
   15 1.01594E+05 1.18358E+19 4.63119E+16 6.56345E+18
   16 1.28000E+05 3.62232E+17 1.23362E+14 9.51035E+16
   17 1.61270E+05 9.48949E+15 7.03890E+10 4.58441E+14
   18 2.03187E+05 8.08136E+12 5.76402E+06 5.52275E+11
   19 2.56000E+05 7.98409E+08 4.08984E+01 1.15954E+08
   20 3.22540E+05 1.16406E+04 1.33152E-05 2.69437E+03
   21 4.06375E+05 6.95772E-01 8.92874E-14 3.91022E-03


time =  5.0729E-01  time past bounce =  1.2017E-03  cycle =  5.2700E+03
     Lnue =  1.2189E+53  Lanue =  3.1087E+47  Lmutau =  4.5843E+46
    j      g           f           h           hm
    1 4.00000E+03 2.12340E+30 1.07551E+26 3.90745E+25
    2 5.03969E+03 5.40512E+30 1.16274E+26 3.30742E+25
    3 6.34961E+03 1.32176E+31 1.02381E+26 2.68081E+25
    4 8.00000E+03 2.91125E+31 7.06828E+25 2.05747E+25
    5 1.00794E+04 3.85088E+31 4.43184E+25 1.47410E+25
    6 1.26992E+04 1.90702E+31 2.46128E+25 9.68458E+24
    7 1.60000E+04 6.61639E+30 1.17313E+25 5.70445E+24
    8 2.01587E+04 1.74338E+30 4.61198E+24 2.92820E+24
    9 2.53984E+04 3.24797E+29 1.42246E+24 1.26389E+24
   10 3.20000E+04 3.90971E+28 3.23156E+23 4.38506E+23
   11 4.03175E+04 2.71449E+27 4.99452E+22 1.15544E+23
   12 5.07969E+04 9.42159E+25 4.75115E+21 2.15261E+22
   13 6.40000E+04 1.36518E+24 2.45214E+20 2.59118E+21
   14 8.06350E+04 6.58077E+21 5.85741E+18 1.79904E+20
   15 1.01594E+05 7.92773E+18 5.30049E+16 6.24422E+18
   16 1.28000E+05 1.82398E+17 1.41191E+14 9.04780E+16
   17 1.61270E+05 3.44586E+15 8.05617E+10 4.36144E+14
   18 2.03187E+05 1.76413E+12 6.59705E+06 5.25414E+11
   19 2.56000E+05 7.23801E+07 4.68091E+01 1.10314E+08
   20 3.22540E+05 2.56974E+02 1.52396E-05 2.56333E+03
   21 4.06375E+05 6.70492E-01 1.02191E-13 3.72004E-03


time =  5.0750E-01  time past bounce =  1.4060E-03  cycle =  5.2990E+03
     Lnue =  1.1164E+53  Lanue =  1.0972E+48  Lmutau =  7.6843E+48
